ID,Région,INSEE,Ville,Ville,Prix m²,Loyer le plus recherché,Nb de pièces le plus recherché,Superficie la plus recherchée,Type de bien le plus recherché,EPM 3mois,EPM 12mois,EPM 3ans,EPM 5 ans,EPA 3mois,EPA 12mois,EPA 3ans,EPA 5ans,Prix minimal au m² (maison - appartement),Prix moyen au m² (maison - appartement),Prix maximal au m² (maison - appartement),Répartition des prix moyen au m²,Répartition des Surfaces,Part de résidences principales,Part de propriétaires,Répartition homme / femme,Population,Densité de population au km²,Habitants,Revenue
1,93,5098,les-orres, Les  Orres,"
                9,94 €  / m²
            ",< 400 €,Nous n'avons pas de données récentes,Nous n'avons pas de données récentes,Nous n'avons pas de données récentes,"[<div class=""valeur orange ng-binding"">-0.56</div>]","[<div class=""valeur orange ng-binding"">0.08</div>]","[<div class=""valeur orange ng-binding"">2.91</div>]","[<div class=""valeur orange ng-binding"">1.21</div>]","[<div class=""valeur orange ng-binding"">7.97</div>]","[<div class=""valeur orange ng-binding"">6.84</div>]","[<div class=""valeur orange ng-binding"">2.91</div>]",[],"['9 \xe2\x82\xac / m\xc2\xb2', '6 \xe2\x82\xac / m\xc2\xb2']","['10 \xe2\x82\xac / m\xc2\xb2', '10 \xe2\x82\xac / m\xc2\xb2']","['12 \xe2\x82\xac / m\xc2\xb2', '15 \xe2\x82\xac / m\xc2\xb2']","[u'<40 m\xb2 = 56', u'>100 m\xb2 = 58', u'40 - 99 m\xb2 = 136']","[u'Femmes = 240', u'Hommes = 288']","[<text class=""p10_title"" fill=""#333333"" id=""p10_title"" style=""font-size: 18px; font-family: arial;"" text-anchor=""middle"" x=""148.5"" y=""137.5"">60 %</text>]",[],"[u'Couple sans enfant = 62', u'Couple avec enfants = 70', u'C\xe9libataires = 89']",[], 528," 7,14", 21156 €
2,93,6089,opio,  Opio,"
                15,53 €  / m²
            ",< 400 €,2 pièces,125-150 m²,Maison,"[<div class=""valeur orange ng-binding"">2.41</div>]","[<div class=""valeur orange ng-binding"">2.61</div>]","[<div class=""valeur orange ng-binding"">-10.23</div>]","[<div class=""valeur orange ng-binding"">3</div>]","[<div class=""valeur orange ng-binding"">-6.97</div>]","[<div class=""valeur orange ng-binding"">-13.5</div>]","[<div class=""valeur orange ng-binding"">-10.23</div>]",[],"['13 \xe2\x82\xac / m\xc2\xb2', '12 \xe2\x82\xac / m\xc2\xb2']","['16 \xe2\x82\xac / m\xc2\xb2', '15 \xe2\x82\xac / m\xc2\xb2']","['23 \xe2\x82\xac / m\xc2\xb2', '18 \xe2\x82\xac / m\xc2\xb2']","[u'Inf\xe9rieur \xe0 15.71 \u20ac/m\xb2 = 7', u'Sup\xe9rieur \xe0 15.71 \u20ac/m\xb2 = 14']","[u'<40 m\xb2 = 33', u'40 - 99 m\xb2 = 251', u'>100 m\xb2 = 522']",77 %,75 %,"[u'Hommes = 1063', u'Femmes = 1070']","[u'C\xe9libataires = 147', u'Couple sans enfant = 255', u'Couple avec enfants = 311']", 2133," 227,84", 40452 €
3,93,6112,le-rouret, Le  Rouret,"
                15,53 €  / m²
            ",< 400 €,3 pièces,25-50 m²,Maison,"[<div class=""valeur orange ng-binding"">2.41</div>]","[<div class=""valeur orange ng-binding"">2.61</div>]","[<div class=""valeur orange ng-binding"">-11.11</div>]","[<div class=""valeur orange ng-binding"">3.39</div>]","[<div class=""valeur orange ng-binding"">-6.97</div>]","[<div class=""valeur orange ng-binding"">-14.16</div>]","[<div class=""valeur orange ng-binding"">-11.11</div>]",[],"['13 \xe2\x82\xac / m\xc2\xb2', '12 \xe2\x82\xac / m\xc2\xb2']","['16 \xe2\x82\xac / m\xc2\xb2', '15 \xe2\x82\xac / m\xc2\xb2']","['23 \xe2\x82\xac / m\xc2\xb2', '18 \xe2\x82\xac / m\xc2\xb2']","[u'Inf\xe9rieur \xe0 15.71 \u20ac/m\xb2 = 7', u'Sup\xe9rieur \xe0 15.71 \u20ac/m\xb2 = 14']","[u'<40 m\xb2 = 63', u'40 - 99 m\xb2 = 593', u'>100 m\xb2 = 779']",82 %,78 %,"[u'Femmes = 1880', u'Hommes = 1898']","[u'C\xe9libataires = 290', u'Couple sans enfant = 417', u'Couple avec enfants = 544']", 3778," 527,52", 38438 €
4,93,6118,saint-cezaire-sur-siagne,  Saint-Cézaire-sur-Siagne,"
                13,32 €  / m²
            ",< 400 €,3 pièces,Nous n'avons pas de données récentes,Appartement,-5.8,-8.12,6.24,-12.12,1.49,4.35,6.24,2.77,"['9 \xe2\x82\xac / m\xc2\xb2', '11 \xe2\x82\xac / m\xc2\xb2']","['12 \xe2\x82\xac / m\xc2\xb2', '15 \xe2\x82\xac / m\xc2\xb2']","['15 \xe2\x82\xac / m\xc2\xb2', '18 \xe2\x82\xac / m\xc2\xb2']","[u'Inf\xe9rieur \xe0 13.50 \u20ac/m\xb2 = 14', u'Sup\xe9rieur \xe0 13.50 \u20ac/m\xb2 = 15']","[u'<40 m\xb2 = 139', u'40 - 99 m\xb2 = 522', u'>100 m\xb2 = 731']",72 %,77 %,"[u'Hommes = 1747', u'Femmes = 1751']","[u'C\xe9libataires = 327', u'Couple sans enfant = 441', u'Couple avec enfants = 483']", 3499," 115,25", 25616 €
5,93,6140,le-tignet, Le  Tignet,"
                13,32 €  / m²
            ",< 400 €,3 pièces,75-100 m²,Appartement,-5.8,-8.12,6.5,-10.45,1.49,4.35,6.5,2.32,"['9 \xe2\x82\xac / m\xc2\xb2', '11 \xe2\x82\xac / m\xc2\xb2']","['12 \xe2\x82\xac / m\xc2\xb2', '15 \xe2\x82\xac / m\xc2\xb2']","['15 \xe2\x82\xac / m\xc2\xb2', '18 \xe2\x82\xac / m\xc2\xb2']","[u'Inf\xe9rieur \xe0 13.50 \u20ac/m\xb2 = 14', u'Sup\xe9rieur \xe0 13.50 \u20ac/m\xb2 = 15']","[u'<40 m\xb2 = 19', u'40 - 99 m\xb2 = 460', u'>100 m\xb2 = 672']",85 %,83 %,"[u'Hommes = 1522', u'Femmes = 1539']","[u'C\xe9libataires = 186', u'Couple avec enfants = 439', u'Couple sans enfant = 448']", 3062," 279,51", 31097 €
6,84,7331,vals-les-bains,  Vals-les-Bains,"
                7,52 €  / m²
            ",[],[],[],[],-0.27,-0.24,-5.38,-2.75,-0.09,-1.48,-5.38,-5.7,"['5 \xe2\x82\xac / m\xc2\xb2', '5 \xe2\x82\xac / m\xc2\xb2']","['7 \xe2\x82\xac / m\xc2\xb2', '8 \xe2\x82\xac / m\xc2\xb2']","['11 \xe2\x82\xac / m\xc2\xb2', '12 \xe2\x82\xac / m\xc2\xb2']","[u'Sup\xe9rieur \xe0 7.57 \u20ac/m\xb2 = 3', u'Inf\xe9rieur \xe0 7.57 \u20ac/m\xb2 = 7']","[u'<40 m\xb2 = 119', u'>100 m\xb2 = 407', u'40 - 99 m\xb2 = 1243']",75 %,52 %,"[u'Hommes = 1692', u'Femmes = 2049']","[u'Couple avec enfants = 344', u'Couple sans enfant = 472', u'C\xe9libataires = 754']", 3741," 191,81", 17095 €
7,84,7336,vernon,  Vernon,"
                10,43 €  / m²
            ",< 400 €,2 pièces,75-100 m²,Appartement,-3.2,-4.25,-6.33,-10.3,-6.01,-5.24,-6.33,-5.93,"['8 \xe2\x82\xac / m\xc2\xb2', '8 \xe2\x82\xac / m\xc2\xb2']","['9 \xe2\x82\xac / m\xc2\xb2', '12 \xe2\x82\xac / m\xc2\xb2']","['12 \xe2\x82\xac / m\xc2\xb2', '21 \xe2\x82\xac / m\xc2\xb2']","[u'Sup\xe9rieur \xe0 10.86 \u20ac/m\xb2 = 14', u'Inf\xe9rieur \xe0 10.86 \u20ac/m\xb2 = 14']","[u'<40 m\xb2 = 1391', u'>100 m\xb2 = 2052', u'40 - 99 m\xb2 = 6851']",92 %,39 %,"[u'Hommes = 11829', u'Femmes = 12770']","[u'Couple sans enfant = 2382', u'Couple avec enfants = 2900', u'C\xe9libataires = 3800']", 24598," 717,18", 22030 €
8,93,13007,auriol,  Auriol,"
                12,53 €  / m²
            ",< 400 €,3 pièces,25-50 m²,Appartement,"[<div class=""valeur orange ng-binding"">1</div>]","[<div class=""valeur orange ng-binding"">-1.18</div>]","[<div class=""valeur orange ng-binding"">-0.1</div>]","[<div class=""valeur orange ng-binding"">-2.12</div>]","[<div class=""valeur orange ng-binding"">-0.06</div>]","[<div class=""valeur orange ng-binding"">0.74</div>]","[<div class=""valeur orange ng-binding"">-0.1</div>]",[],"['10 \xe2\x82\xac / m\xc2\xb2', '10 \xe2\x82\xac / m\xc2\xb2']","['12 \xe2\x82\xac / m\xc2\xb2', '13 \xe2\x82\xac / m\xc2\xb2']","['15 \xe2\x82\xac / m\xc2\xb2', '17 \xe2\x82\xac / m\xc2\xb2']","[u'Sup\xe9rieur \xe0 12.46 \u20ac/m\xb2 = 14', u'Inf\xe9rieur \xe0 12.46 \u20ac/m\xb2 = 14']","[u'<40 m\xb2 = 279', u'>100 m\xb2 = 1707', u'40 - 99 m\xb2 = 2330']",91 %,67 %,"[u'Hommes = 5845', u'Femmes = 5854']","[u'C\xe9libataires = 895', u'Couple sans enfant = 1044', u'Couple avec enfants = 1862']", 11699," 262,17", 26284 €
9,93,13041,gardanne,  Gardanne,"
                12,47 €  / m²
            ",< 400 €,2 pièces,50-75 m²,Appartement,-6.23,-4.73,-1.58,-7.94,0.38,4.76,-1.58,-4.2,"['11 \xe2\x82\xac / m\xc2\xb2', '8 \xe2\x82\xac / m\xc2\xb2']","['13 \xe2\x82\xac / m\xc2\xb2', '12 \xe2\x82\xac / m\xc2\xb2']","['14 \xe2\x82\xac / m\xc2\xb2', '15 \xe2\x82\xac / m\xc2\xb2']","[u'Sup\xe9rieur \xe0 12.49 \u20ac/m\xb2 = 14', u'Inf\xe9rieur \xe0 12.49 \u20ac/m\xb2 = 14']","[u'<40 m\xb2 = 655', u'>100 m\xb2 = 1687', u'40 - 99 m\xb2 = 6007']",94 %,52 %,"[u'Hommes = 10177', u'Femmes = 10727']","[u'C\xe9libataires = 2145', u'Couple sans enfant = 2177', u'Couple avec enfants = 2843']", 20903," 769,87", 20085 €
10,93,13066,noves,  Noves,"
                10,19 €  / m²
            ",< 400 €,2 pièces,25-50 m²,Appartement,-0.43,-4.47,-1.28,3.58,-1.32,-3.73,-1.28,2.82,"['8 \xe2\x82\xac / m\xc2\xb2', '8 \xe2\x82\xac / m\xc2\xb2']","['10 \xe2\x82\xac / m\xc2\xb2', '10 \xe2\x82\xac / m\xc2\xb2']","['13 \xe2\x82\xac / m\xc2\xb2', '14 \xe2\x82\xac / m\xc2\xb2']","[u'Inf\xe9rieur \xe0 10.56 \u20ac/m\xb2 = 12', u'Sup\xe9rieur \xe0 10.56 \u20ac/m\xb2 = 16']","[u'<40 m\xb2 = 102', u'>100 m\xb2 = 742', u'40 - 99 m\xb2 = 1220']",91 %,61 %,"[u'Hommes = 2447', u'Femmes = 2598']","[u'C\xe9libataires = 504', u'Couple sans enfant = 643', u'Couple avec enfants = 667']", 5045," 191,04", 20836 €
